Серия номенклатуры;Номенклатура;Вес изделия;Вес металла в изделии;Дата выпуска;Описание вставки
SP0182110;Кольцо 20-02-1010-10729;2,77;2,321;03.03.2016 0:00:00;2 Бр кр57 1.80 3/5А 0.044ct, 1 Жем белый кабашон 7.50*7.00 0.440
SP0115273;Кольцо 20-02-1030-10392;3,25;3,038;08.08.2012 0:00:00;12 Бр кр57 1.1 3/5А 0.060ct, 1 жем розовый круг 5.0*5.5 0.200
SP0178803;Кольцо 20-02-1040-10041;2,59;2,312;26.06.2015 0:00:00;3 Бр кр57 1.30 3/5А 0.024ct, 5 Бр кр57 1.20 3/5А 0.035ct, 1 Жем черный круг диапз 6.00*5.50 0.266
SP0181270;Кольцо 20-02-1040-10044;1,72;1,563;14.12.2015 0:00:00;3 Бр кр17 1.20 2/3А 0.021ct, 1 Жем черный круг диапз 5.00*4.50 0.153
SP0149761;Кольцо 20-02-1040-10176;1,83;1,62;14.01.2014 0:00:00;4 Бр кр17 1.4 2/3А 0.040ct, 1 жем черный круг 5.0*5.5 0.202
SP0149027;Кольцо 20-02-1040-11575;3,15;2,888;18.12.2013 0:00:00;6 Бр кр17 1.2 2/3А 0.042ct, 1 жем черный круг 5.5*6.0 0.254,
SP0182373;Кольцо 20-02-1100-10013;4,26;4,089;22.03.2016 0:00:00;1 Топаз квадрат 5.00*5.00 0.165, 2 Бр кр57 1.60 3/5А 0.032ct
SP0076647;Кольцо 20-02-1100-10034;4,34;3,795;;6 Бр кр17 1.0 2/2А 0.024ct, 1 топаз окт 9.0*7.0 0.540,
SP0180761;Кольцо 20-02-1100-10037;2,61;2,446;18.11.2015 0:00:00;1 Топаз груша 7.00*5.00 0.160, 2 Бр кр57 1.25 3/5А 0.016ct, 1 Бр кр57 1.10 3/5А 0.005ct
SP0178802;Кольцо 20-02-1100-10111;3,89;3,203;26.06.2015 0:00:00;1 Топаз овал 10.00*8.00 0.607, 16 Бр кр57 1.90 3/5А 0.400ct
SP0181203;Кольцо 20-02-1100-10113;1,6;1,306;11.12.2015 0:00:00;1 Бр кр57 1.80 3/5А 0.022ct, 1 Топаз овал 8.00*6.00 0.290
SP0181322;Кольцо 20-02-1100-10951;2,81;2,707;21.12.2015 0:00:00;2 Бр кр17 1.50 2/3А 0.026ct, 1 Топаз овал 6.00*4.00 0.098
SP0182112;Кольцо 20-02-1200-10013;4,29;4,139;03.03.2016 0:00:00;1 Гранат квадрат 5.00*5.00 0.145, 2 Бр кр57 1.60 3/5А 0.032ct
SP0181348;Кольцо 20-02-1200-10037;2,34;2,174;22.12.2015 0:00:00;1 Бр кр17 1.10 2/3А 0.005ct, 2 Бр кр17 1.20 2/3А 0.014ct, 1 Гранат груша 7.00*5.00 0.162
SP0181680;Кольцо 20-02-1200-10058;2,63;2,468;28.12.2015 0:00:00;10 Бр кр17 1.10 3/4А 0.050ct, 1 Гранат квадрат 5.00*5.00 0.152
SP0181349;Кольцо 20-02-1300-10037;2,4;2,269;22.12.2015 0:00:00;1 Бр кр57 1.20 3/5А 0.007ct, 2 Бр кр57 1.30 3/5А 0.016ct, 1 Раух-топаз груша 7.00*5.00 0.126
SP0181350;Кольцо 20-02-1400-10037;2,5;2,374;22.12.2015 0:00:00;1 Аметист груша 7.00*5.00 0.122, 2 Бр кр57 1.25 3/5А 0.016ct, 1 Бр кр57 1.10 3/5А 0.005ct
